date,bytes
2021-07-08,1746300814383
2021-07-09,2183982863463
2021-07-10,2509861999734
2021-07-11,2262357492622
2021-07-12,1869921810518
2021-07-13,1447784138098
2021-07-14,1728394344929
2021-07-15,2026414620349
2021-07-16,2820264693678
2021-07-17,2708782874058
2021-07-18,2697348124015
2021-07-19,2070019300974
2021-07-20,3167400679008
2021-07-21,2487933502828
2021-07-22,2325023689636
2021-07-23,2540135884365
2021-07-24,2659228535951
2021-07-25,2288248411787
2021-07-26,3023387396649
2021-07-27,3204553629102
2021-07-28,2100510914518
2021-07-29,2441070120293
2021-07-30,2451865976934
2021-07-31,2790525351177
2021-08-01,2295988620090
2021-08-02,1921859404692
2021-08-03,2533296071103
2021-08-04,2797565703896
2021-08-05,2109944336666
2021-08-06,2563671324322
2021-08-07,1650210279801
2021-08-08,3211533665044
2021-08-09,2517339859719
2021-08-10,3018687109272
2021-08-11,1129172427838
2021-08-12,2362535112101
2021-08-13,2461863711929
2021-08-14,2864144877807
2021-08-15,2410828493882
2021-08-16,2453876206294
2021-08-17,2637544756768
2021-08-18,3498078301480
2021-08-19,3211443858303
2021-08-20,2769786593906
2021-08-21,2379376783982
2021-08-22,2294450232007
2021-08-23,1879182971189
2021-08-24,2668973236831
2021-08-25,3293785011560
2021-08-26,2817785728352
2021-08-27,3184782749071
2021-08-28,2707231800779
2021-08-29,2843940066083
2021-08-30,3184230380417
2021-08-31,2610254844283
2021-09-01,2734780971751
2021-09-02,2516398691607
2021-09-03,2839334730142
2021-09-04,2489725949182
2021-09-05,2107809608113
2021-09-06,1914371203372
2021-09-07,2829760113904
2021-09-08,2520742295228
2021-09-09,2321517627089
2021-09-10,2018228474669
2021-09-11,2355588251816
2021-09-12,2850718230018
2021-09-13,2559109630908
2021-09-14,2989844921262
2021-09-15,3231420187987
2021-09-16,2674135770584
2021-09-17,2144394886975
2021-09-18,2286081000422
2021-09-19,856306376859
2021-09-20,1856143278570
2021-09-21,3144711581730
2021-09-22,2711306474031
2021-09-23,2642823019491
2021-09-24,1834179576598
2021-09-25,2649368464025
2021-09-26,2968712940856
2021-09-27,2158701619343
2021-09-28,2312538512557
2021-09-29,616408232716
2021-09-30,2827649195265
2021-10-01,2685675343924
2021-10-02,2617723449374
2021-10-03,2699867865415
2021-10-04,2606664212853
2021-10-05,11776324259
